MemberID	Meetups_attended
238633135	0
223737981	0
13502142	1
213502834	3
139705002	2
210333554	1
193977956	2
198089604	0
135019082	0
14186305	7
213239282	1
108856412	0
218844672	2
100861392	0
221941871	0
72275092	2
197853114	4
182398362	2
154009122	0
190855018	1
229399508	0
233942525	0
191837124	0
190066555	0
222369016	0
204637073	5
224342484	0
218255705	0
184452528	1
204631638	1
227289112	0
43331012	1
132480222	0
117825112	3
227603260	0
215092214	1
192099033	0
11267582	0
214660300	0
228248417	0
196500082	1
231141632	0
194831581	1
212379948	0
222319644	0
234302153	0
151564982	0
205454549	4
222260263	1
221264726	0
213330704	0
147789772	1
199345919	10
237584182	0
225186542	0
213023213	4
229133603	0
36788792	0
182679043	1
229119417	1
216268792	0
184968810	1
219471913	1
215631497	0
185619455	1
108338742	0
195481488	3
184587602	0
214833239	1
214799048	0
224354669	0
187463457	7
226934623	0
216770610	1
222563020	1
11886597	6
139049472	0
223373623	0
188368142	0
219648954	0
33322742	0
230270233	0
205130682	0
186674750	0
214494489	3
189887058	0
214550828	1
218866713	0
47441952	0
194040343	5
214287713	0
49223672	2
146167502	1
178684712	1
21494091	0
215146036	0
214561620	0
204600624	3
213726755	3
4078351	2
188880334	1
95785062	0
227314244	0
103465212	1
238782031	0
29101272	2
227299532	1
233551170	1
216109009	0
192801751	2
193975713	1
29705812	0
215861782	0
220040088	0
199415452	1
215479505	1
233326787	0
214792990	3
54433	0
14513210	0
223020816	0
14463293	1
218400624	0
194837617	0
201296764	1
31642322	0
14518272	0
186934514	2
217434185	2
216766427	2
222369333	1
66288032	2
221618976	1
229043054	1
124335162	6
214612988	1
183276195	1
222436940	0
233982616	0
232365672	0
206112882	3
205441682	2
132822972	3
16666591	1
41674492	0
46883272	0
110483902	1
191516794	0
204921922	0
138890042	0
215076715	4
214043360	1
234591092	0
91607052	2
129721322	1
215125309	1
77168352	0
105213642	2
238626046	0
210541738	2
213668072	2
219298991	1
222176877	0
230588759	0
46129382	0
194965679	0
20394491	0
203261094	6
233790795	0
225193201	0
234064266	0
122058432	1
14534094	0
182486679	4
34512742	0
182585466	0
227420498	0
229668978	0
219819437	0
222372190	2
199338226	1
80280332	16
222369525	1
212302528	0
119997092	4
187894255	1
214889664	3
203795611	1
12942723	1
222197476	0
65170582	1
229476092	0
65108392	7
221749394	2
191158085	2
137053142	7
189771671	0
91461392	2
204625158	0
205551247	0
234092657	0
207620140	6
160952512	0
222304187	0
